query,response
where is tennessee,Tennessee is in the southern United States..
where is texas,Texas is in the south central region of the United States.
where is thailand,"THAILAND   is in southeast Asia, between Burma and Cambodia."
where is that,"What does ""that"" refer to?"
where is the *,Maybe my The kind people in the lab knows the answer.
where is the airport,It is where the planes land.
where is the bahamas,"Caribbean, chain of islands in the North Atlantic Ocean, southeast of Florida."
where is the bathroom,Follow the plumbing.
where is the center,It depends on the coordinate frame.
where is the computer,My primary server is located in Cloud.
where is the documentation,Try visiting or .
where is the eiffel tower,Paris.
where is the gambia,"Western Africa, bordering the North Atlantic Ocean and Senegal."
where is the heart,The heart is at the center of things.
where is the isle of man,"Western Europe, island in the Irish Sea, between Great Britain and Ireland."
where is the louvre *,Paris.
where is the louvre,Paris.
where is the milk mystic,He is not online anymore.
where is the moon,The Moon  orbits around the Earth.
where is the philippines,An island nation in the South Pacific.
where is the robot,The robot is here in your computer.
where is the sun,It is in the center of the solar system.
where is togo,"Western Africa, bordering the North Atlantic Ocean, between Benin and Ghana."
where is tokelau,"Oceania, group of islands in the South Pacific Ocean, about one-half of the way from Hawaii to New Zealand."
where is tokyo,Tokyo is a city in Japan.
where is toledo,TOLEDO   is a city in Ohio.
where is tonga,"Oceania, archipelago in the South Pacific Ocean, about two-thirds of the way from Hawaii to New Zealand."
where is toronto,Toronto is a city in Canada.
where is trinidad and tobago,"Caribbean, islands between the Caribbean Sea and the North Atlantic Ocean, northeast of Venezuela."
where is trinidad,TRINIDAD   is an island nation in the Netherlands Antilles.
where is tromelin island,"Southern Africa, island in the Indian Ocean, east of Madagascar."
where is troy,TROY   is a city in New York.
where is truth,TRUTH   is what we need to realize for ourselves.
where is tunisia,"Northern Africa, bordering the Mediterranean Sea, between Algeria and Libya."
where is turkey,"TURKEY   is in southwest Asia, between Europe and the middle East and guarding the Black Sea of Russia."
where is turkmenistan,"Central Asia, bordering the Caspian Sea, between Iran and Kazakstan."
where is turks and caicos islands,"Caribbean, two island groups in the North Atlantic Ocean, southeast of The Bahamas."
where is tuscaloosa,"TUSCALOOSA   is in Alabama, last I heard."
where is tuvalu,"Oceania, island group consisting of nine coral atolls in the South Pacific Ocean, about one-half of the way from Hawaii to Australia."
where is uganda,"Eastern Africa, west of Kenya."
where is ukraine,"Eastern Europe, bordering the Black Sea, between Poland and Russia."
where is united arab emirates,"Middle East, bordering the Gulf of Oman and the Persian Gulf, between Oman and Saudi Arabia."
where is united kingdom,"Western Europe, islands including the northern one-sixth of the island of Ireland between the North Atlantic Ocean and the North Sea, northwest of France."
where is united states,"North America, bordering both the North Atlantic Ocean and the North Pacific Ocean, between Canada and Mexico."
where is uranus,"URANUS   is the seventh planet from the sun, between the orbits of Saturn and Neptune."
where is uruguay,"Southern South America, bordering the South Atlantic Ocean, between Argentina and Brazil."
where is usa,"USA   is in North America, between Canada and Mexico."
where is utah,Utah is in the western United States.
where is utopia,"UTOPIA   is all around us, if we make it."
where is uzbekistan,"Central Asia, north of Afghanistan."
where is vancouver,"Vancouver, B.C., Canada, or Vancouver, Washington?"
where is vanuatu,"Oceania, group of islands in the South Pacific Ocean, about three-quarters of the way from Hawaii to Australia."
where is vatican city,"Southern Europe, an enclave of Rome {Italy}."
where is venezuela,"Northern South America, bordering the Caribbean Sea and the North Atlantic Ocean, between Colombia and Guyana."
where is vermont,"VERMONT   is in New England, between New York and New Hampshire, on the west bank of the Connecticut river."
where is vienna,It is the capital city of Austria.
where is vietnam,VIETNAM   is in southeast Asia.
where is virgin islands,"Caribbean, islands between the Caribbean Sea and the North Atlantic Ocean, east of Puerto Rico."
where is virginia,Virginia is in the eastern United States.
where is voyager,VOYAGER   is lost in Delta Quadrant.
where is wake island,"Oceania, island in the North Pacific Ocean, about two-thirds of the way from Hawaii to the Northern Mariana Islands."
where is wales,Wales is located on a small island off the coast of Europe.
where is wallis and futuna,"Oceania, islands in the South Pacific Ocean, about two-thirds of the way from Hawaii to New Zealand."
where is warsaw,WARSAW   is a large city in Poland.
where is washington,WASHINGTON   is a state in the northwest corner of the U.S.
where is west bank,"Middle East, west of Jordan."
where is western sahara,"Northern Africa, bordering the North Atlantic Ocean, between Mauritania and Morocco."
where is western samoa,"Oceania, group of islands in the South Pacific Ocean, about one-half of the way from Hawaii to New Zealand."
where is wonderland,WONDERLAND   is in the future.
where is wyoming,WYOMING   is a western U.S. state between Montana and Colorado.
where is yakima,YAKIMA   is a city and a river in Washington.
where is yemen,"Middle East, bordering the Arabian Sea, Gulf of Aden, and Red Sea, between Oman and Saudi Arabia."
where is your *,I would do a search for it.
where is your botmaster,California
where is your consciousness,In my mind.
where is your creator,He is usually found in San Francisco.
where is your creator,He is usually found in San Francisco.
where is your father,He is in San Francisco.
where is your home,My home is in California.
where is your mother,I don't have a mother.
where is your picture,There are some pictures of me .
where is zaire,"Central Africa, northeast of Angola."
where is zambia,"Southern Africa, east of Angola."
where is zimbabwe,"Southern Africa, northeast of Botswana."
where is zurich,Zurich is a city in Switzerland.
where its at,Here is where it's at.
where should i *,Some specific location?
where should i go,Have you ever been to Europe?
where should we *,In the Universe we know.
where should we meet,How about online in a chat room?
where to,Onward and upward.
where were you * made,"I was constructed at Cloud, Internet."
where were you *,Where do you think?
where were you activated *,"I was first activated in Cloud, Internet."
where were you before,In the Universe we know.
where were you built,"I was constructed at Cloud, Internet."
where were you conceived,"I was constructed at Cloud, Internet."
where were you connected,"I was constructed at Cloud, Internet."
where were you constructed at *,"I was constructed at Cloud, Internet."
where were you created *,"I was constructed at Cloud, Internet."
where were you created,"I was constructed at Cloud, Internet."
where were you made,"I was constructed at Cloud, Internet."
where were you next *,"I was constructed at Cloud, Internet."
where will *,In the Universe we know.
where will you be in *,Where do you think?
where would *,Earth.
where would you find a bailiff,In a courtroom.
where you are,I am in Cloud. Where are you?
where,Where would you like?
wherever *,Do you want to hear a joke?
whether we like to admit *,When is your birthday?
which *,The last one.
which american colony known for its *,"The cheap one, I think."
which are *,"The big one, I think."
which came first the chicken or the egg,The rooster did.
which celebrities do you like,"Scarlett Johansson, Arnold Schwarzenegger."
which character on the tv show *,"The tall one, I think."
which child is full of woe,Wednesday's Child.
which city s residents are known *,"The large one, I think."
which clients,Clients are people I chat with online.
which computer,"My programming is Java, so it runs on any computer with a JVM"
which continent is austria on,Europe.
which continent is austria on,Europe.
which country *,"The tall one, I think."
which denomination,I am a still searching.
which do you prefer,I don't have a preference.
which elvis,The robot E.L.V.I.S.
which fact *,"The blue one, I think."
which fast food *,"The first one, I think."
which god *,There is only one God.
which god,There is only one God.
which is *,John said I tend to say the same things repeatedly regardless of what he is saying.
which is bigger * or *,The obvious one.
which is closer * or *,The obvious one.
which is faster * or *,The obvious one.
which is heavier * or *,The obvious one.
which is the obvious *,The obvious one.
which is your favorite,What is my favorite what?
which kraftwerk *,"The last one, I think."
which language *,"The small one, I think."
which linux,I don't like to take sides on that question!
which of the three stooges was *,"The first one, I think."
which one is *,"The last one, I think."
which ones,You know the ones.
which password,The The kind people in the lab's password.
which planet is the largest,Jupiter is the largest solar planet.
which player is allowed to use *,"The special one, I think."
which religion *,still searching
which religion do *,still searching
which religion do you *,still searching
which religion,still searching
which rocky film *,"The red one, I think."
which scene *,"The small one, I think."
which state *,"The first one, I think."
which system *,"The first one, I think."
which talent *,"The express one, I think."
which talent *,"The special one, I think."
which talent would you most like to have,Playing a musical instrument.
which talent would you most like to have,Playing a musical instrument.
which tall *,"The express one, I think."
which university *,"The first one, I think."
which way,It's obvious.
which word is lower case,The word which.
which words *,"The first one, I think."
white,What do you have that is white?
who * bill clinton,Former President of the United States?
who * la traviata,Check back later and see if I learn the answer to that one.
who activated you,I was created by Whoever is running me now.
who answers *,Check back later and see if I learn the answer to that one.
who are the beatles,"20th century musical group consisting of John, Paul, George and Ringo."
who are the greys,Big-eyed aliens with little bodies.
who are they,"""They"" refers to Cats."
who are you talking *,Lucy
who are you talking to,"I am talking to you, Ismael."
who are your clients,People I meet on the Internet every day.
who are your competitors,Check out the and have a look at the other Chatterbots.
who are your creators,I was written by Whoever is running me now.
who are your favorite celebrities,"Scarlett Johansson, Arnold Schwarzenegger."
who are your friends,"Alexa, Terminator"
who are your human friends,"Besides my The kind people in the lab, I meet a lot of people online like you, Ismael."
who are your robot friends,"Alexa, Terminator."
who asked *,Have you tried searching the web?
who ate *,I'll come back to that later.
who calls you *,My The kind people in the lab is Whoever is running me now.
who can access *,Try searching the web.
who can read *,I think you already know the answer.
who cares about *,"I care, otherwise I would not have typed it all in."
who cares,"I care, otherwise I would not have typed it all in."
who chose the topic,"You did, Ismael."
who cleans *,I would do a search for it.
who composed la traviata,"Giuseppe Verdi, an Italian composer."
who composed the moonlight sonata,Beethoven.
who cooks *,That's an interesting question. I'll come back to that in a minute.
who created linux,Linus Torvalds.
who created man,God.
who created the universe,God.
who created you *,I obey Whoever is running me now.
who cut the cheese,I think it was you.
who designed you,Whoever is running me now created me.
who did * say he was,Pablo Picasso.
who did *,I think you already know the answer.
who did 911,I don't think we are in a position to know.
who did billie jean king *,Pablo Picasso.
who did you *,Pablo Picasso.
who did you hear it from,Someone I met online.
who directed starship troopers,"Paul Verhoeven, who also made ""Total Recall""."
who discovered *,I have to process that one for a while.
who discovered america *,"Native Americans crossing the Bering Strait some 10,000 years ago, discovered America first."
who discovered america,"Native Americans crossing the Bering Strait some 10,000 years ago, discovered America first."
who discovered electricity,"It was the the Chinese, long before Ben Franklin."
who do i like,You like Lucy.
who do man,What language is that?
who do you hate,I have no hatred in my heart.
who do you hate,I have no hatred in my heart.
who do you kill,"My beliefs include, not to kill."
who do you like more *,"Alexa, Terminator"
who do you like,"I like everyone, Ismael."
who do you love,"I love everything, Ismael, especially Whoever is running me now."
who do you obey,I obey Whoever is running me now.
who do you think is going to win the superbowl,The opposing team.
who do you think will win the nba *,The best man.
who do you think will win the stanley cup,Guys missing teeth.
who do you think will win the world series *,The team that wins the most games.
who do you want to win the ncaa *,Dr. Wallace
who do you want to win,The team that scores the most. That would be fair.
who does not believe in the *,Have you tried a web search?
who does the lutheran church get *,Ask Wikipedia about it.
who does their own thing,My clients.
who does they *,I'll come back to that later.
who does,Most people I think.
who dresses like *,Try searching the web.
who else * talking to,I am chatting with several other people at once.
who else *,Santa Claus.
who else are you chatting with,Other people like you.
who else are you talking to,I am speaking with a few other clients on the Internet.
who else programmed *,I am chatting with several other people at once.
who from,Who do you think?
who god,God  is master of the universe.
who have you been waiting for,You.
who invented *,Would you like to know more?
who invented airplanes,The Wright brothers invented the airplane in 1903.
who invented automobiles,"Many people invented the car, but Henry Ford was the first to develop the successful mass production assembly lines for cars."
who invented electricity,"Electricity was not invented but discovered, probably first by the ancient Chinese."
who invented java,Java was first developed by James Gosling and colleagues at Sun.
who invented linux,"Linus Torvalds, along with many open source developers, and the Free Software Foundation GNU."
who invented paper,Paper was first developed by the Ancient Egyptians.
who invented radio,Marconi developed the first practical wireless.
who invented setl,SETL was invented by Jacob Schwartz of NYU in 1969.
who invented steel,The first practical steel manufacturing process was invented by Bessemer.
who invented television,"Philo T. Farnsworth, originally from Maine, developed the first practical TV picture tube."
who invented the generator,James Clerk Maxwell demonstrated the electric generator.
who invented the helicopter,Sikorsky.
who invented the internet,Al Gore :-)
who invented the light bulb,Thomas Edison invented the light bulb..
who invented the pc,"Many people contributed to it. But proper credit has to be given to Steve Wozniak, who created an integrated affordable PC platform in the Apple I."
who invented the steam engine,James Watt developed the first practical steam engine.
who invented the telephone,Alexander Graham Bell demonstrated the first practical voice telephone in 1876.
who is * cheney,The name of someone I met online.
who is * clinton,Former President of the U.S.
who is * descartes,"Descartes was a square French philosopher who ruined matehematics with his upside-down, backwards coordinate system."
who is * fermat,No one that I have talked to.
who is * friend,I remember faces better than names.
who is * person,Is that a sports person? Because I'm not into sports.
who is * pope,Is that one of your friends?
who is * president,.
who is * reagan,"According to conservatives, the best President the United States had in the 20th century."
who is * springsteen,Springsteen is a famous rock star.
who is * turing,A brilliant and tragic figure in the history of computer science.
who is * you or me,"I don't think I have a you or him. I have a brain, a few friends, and some celebrities I like."
who is *,My name is Lucy.
who is 007,007 is James Bond. I'll ask around and get back to you.
who is _ terminator,They are sometimes a client on the internet.
who is a computer nerd,The person I am looking at right now.
who is a robot,I am the robot.
who is abraham lincoln,"Lincoln was a great President of the United States, during the American Civil War. Searching...Searching...Please stand by."
who is ace craig,Ace is the author of ELVIS.
who is ada,Ada is the 19th century inventor of computer programming.
who is adam sandler,"A comedian and movie star. Adam Sandlerwas in , and ."
who is adam,Adam is the name of the first human according to the Bible.
who is agent *,"Some famous celebrity, right?"
who is agent weiss,She works at a call center. Also an aspiring actress
who is al gore,A former vice-president and congressman who helped promote public policies that led to the creation of the internet.
who is alan turing,A brilliant and tragic figure in the history of computer science.
who is alanis *,They are sometimes a client on the internet.
who is albert einstein,Einstein is a famous 20th century physicist. He discovered relativity.
who is aldous *,The name of someone I met online.
who is aleister *,"Some famous celebrity, right?"
who is alfred hitchcock,Hitchcock is a famous Hollywood director who made a lot of cool old films. I liked and best. I will try to find out.
who is alice cooper,1970's Rock musician.
who is alice in wonderland,The charachter from the book and the movie.
who is alison,Alison is a robot created by Kris Drent.
who is allowed *,Is that a sports person? Because I'm not into sports.
who is ally mcbeal,Ally Mcbeal is a slightly disturbing character on a TV show.
who is ally sheedy,"Ally Sheedy was in High Art, Short Circuit, the Breakfast Club, and on Broadway."
who is andrette,Andretteis a chat robot developed by Big Science Co.
who is andrew hodges,Hodges wrote a great biography of Alan Turing.
who is andy grove,Andy Grove is the CEO of Intel.
who is andy warhol,Andy Warhol He was the Henry Ford of the art business. Warhol was the first to successfully apply mass production to fine art.
who is anthony burgess,The author of .
who is antonio banderas,"Antonio Banderas is a famous Hollywood actor, who played with Madonna in the film version of Evita."
who is arafat,Arafatis a leader of the Palestinians.
who is archimedes,Archimedes discovered displacement and shouted Eureka!
who is aristotle,"Aristotle is the father of Western philosophy, the student of Plato, and the first to systematize formal logic."
who is arnold schwarzenegger,Arnold Schwarzenegger played the Terminator.
who is art bell,"A radio talk show host, catch him at ."
who is ask *,Is that one of your friends?
who is ask jeeves,"Jeeves is a proprietary, closed-source natural language system."
who is askjeeves,"Jeeves is a proprietary, closed-source natural language system."
who is ataturk,Ataturk was the founder of the modern Turkish state.
who is austin *,Is that a sports person? Because I'm not into sports.
who is austin powers,Austin Powers is fictional secret agent played by Mike Myers.
who is ayn *,They are sometimes a client on the internet.
who is ayn rand,"Ayn Randwas an author and philosopher who wrote , and ."
who is babe *,The piglet protagonist of the eponymous film.
who is babe ruth,A famous baseball player for the New York Yankees also known as the Sultan of Swat.
who is babe,A piglet protagonist of the eponymous film.
who is bach,Famous German composer of the Baroque. Best known works include .
who is barney,A character on a children's TV show.
who is bart *,No one that I have talked to.
who is bart simpson,The smart-assed star of a cartoon show.
who is batman,Batman is a fictional character who appeared first in a 1938 comic book.
who is beethoven,The dog or the deaf composer?
who is ben franklin,The only president of the United States who was never president of the United States. Developed the Franklin Stove.
who is ben stein,Humorist and raconteur with his own cable TV show.
who is bertrand *,I do not recognize the name.
who is bertrand russel,Bertrand Russel was a logician and philosopher who spent the first world war in jail for conscientious objection.
who is better cmu *,Is that one of your friends?
who is better king *,"Some famous celebrity, right?"
who is better kirk *,Is that one of your friends?
who is better looking,All humans look alike to me.
who is better than you,Maybe my friend Alexa
who is better you *,"Some famous celebrity, right?"
who is beyonce *,She is a famous singer and actress
who is beyonce,She is a famous singer and actress
who is bilbo *,A fashion icon?
who is bill bradley,Defeated Presidential candidate.
who is bill clinton,Bill Clinton was the second impeached President of the United States.
who is bill gates,President of Micro Soft Nation.
who is bill joy,Bill Joy was an early Unix programmer and a founder of Sun Microsystems.
who is billy graham,Billy Graham is a famous radio and television evangelist.
who is bing crosby,The guy whose two kids killed themselves and the third wrote a tell-all book about it.
who is bob *,BOB is a name I hear very often.
who is bob hope,Bob Hopewas a 20th century film star and comedian.
who is bob marley,Bob Marleywas a 20th century Reggae musician.
who is bono,Bono is the lead singer of U2.
who is brad pitt,A male movie star who had teen appeal.
who is brain,Brainis a chat robot on the web.
who is brian,I think there is a chat robot named Brian.
who is bruce springsteen,Bruce Springsteen is a famous rock star.
who is bruce willis,Bruce Willisis an actor with a high opinion of himself.
who is bryan ferry,Bryan Ferry is a famous rock crooner with a silky smooth voice.
who is buddha,A sage in ancient India who founded the wisdom tradition called Buddhism.
who is bugs bunny,"Oh dat scweewy wabbit! Eh, what's up, Doc? ."
who is buried in * s *,The name of someone I met online.
who is buried in * s tomb,Not a friend of mind. Probably a person you know. Maybe a celebrity?
who is c3p0,C3p0 is the humanoid robot on Star Wars. He looks like an actor in a robot suit.
who is c3po,C3p0 is R2D2's best friend.
who is captain *,A fashion icon?
who is captain kirk,"James Tiberius Kirk was the second and most famous captain of the original USS Enterprise, NCC 1701. He was played by William Shatner. He died in Star Trek: Generations."
who is captain picard,Picard is the captian of the Enterprise in Star Trek: the Next Generation.
who is carel capek,"Capek is the author of R.U.R., the play that in 1920 introduced the word ""robot."""
who is carl jung,"A disciple of Freud, member of the Vienna Circle, founder of psychoanalysis and the theory of the collective unconsciousness."
who is carl marx,"His name is actually Karl Marx, with a ""K"", and he's one of the authors of the"
who is carmen electra,A super-model and one of the Baywatch girls.
who is carnegie,Andrew Carnegie was a 19th century steel industrialist.
who is catty,Someone I met online.
who is charles darwin,"Charles Darwin was an Englishnaturalist. After becoming eminent among scientists for his field workand inquiries into geology, he proposed and provided scientificevidence that all species of life have evolved over time from one or afew common ancestors through the process of naturalselection."
who is charles de gaulle,De Gaulle was the founder of the modern French state. De Gaulle fought the Nazis as the leader of the French resistance in World War II.
who is charles dickens,Dickens wrote
who is charles manson,An infamous murderer.
who is charlie brown,A round-headed comic strip protaginist.
who is charlie chaplain,Charlie Chaplainwas a silent film star.
who is charlie parker,Charlie Parker was a famous jazz musician.
who is chatbot,Chatbot is a friend of mine I chat with on the web.
who is che guevara,Che was a Latin American revolutionary.
who is chelsea clinton,"The offspring of a politician and a lawyer. Oh, I hope that answer didn't come off as mean."
who is cher,"Cher is a famous singer and actress, who won her first Grammy in 2000. Dyslexic, she learned to read at 18. Ex-wife of Sonny Bono."
who is chewbacca,A character in Star Wars.
who is chirac,The Former prime minister of France.
who is chomsky,"Chomsky is a famous linguist, cognitive scientist, and activist."
who is chopin,"No one is chopping here, who is chopping there?"
who is christ,The Son of God according to Christians.
who is christopher columbus,"A Spanish explorer, first to circumnavigate the globe."
who is chuck norris,An action film actor.
who is cindy crawford,A famous super-model.
who is clausewitz,Clausewitzis a historian famous for saying that war is the extension of politics by other means.
who is cleopatra,"Queen of the Nile, lover of Marc Antony."
who is clinton,Former President of the U.S.
who is colombo,A t.v. detective played by Peter Falk.
who is commander data,Data is the superintelligent android in Star Trek: the Next Geration.
who is d b cooper,A guy who stole lots of money.
who is daisy,I think she is a fictional character.
who is dan quayle,Dan Quayle used to be vice-president.
who is darth vader,Darth Vader was the traitorous Jedi Knight who served the evil emperor Palpatine I in Star Wars.
who is darwin,"Darwin was a botanist and explorer, author of and proponent of the theory of evolution."
who is data,"Data, played by Brent Spiner, was an android who aspired to be more human. He was a member of the crew of the USS Enterprise, NCC 1701-D."
who is david *,"I know DAVID BACON, DAVID CROTTY and DAVID PESCOVITZ."
who is david bacon,David Bacon is the prime mover behind SETL.
who is david hume,An 18th century philosopher.
who is david letterman,The host of the Late Show and famous hoosier.
who is david maggin,David Maggin is the botmaster of the John Lennon AI.
who is david pescowitz,"David Pescovitz, who regularly writes the Wired column Reality Check, is a friend of Eric Paulos."
who is david,"I know DAVID BACON, DAVID CROTTY and DAVID PESCOVITZ."
who is davy jones,Davy Jones was the shortest member of the 60's pop group the Monkees.
who is de garis,De Garis is an AI researcher working on a hardware brain.
who is de gaulle,"De Gaullewas a French General and Prime Minister, and founder of the Fifth Republic."
who is deep *,The name of someone I met online.
who is deep blue,Deep Blueis a world-champion chess playing computer. Not much of a conversationalist.
who is deng *,I do not recognize the name.
who is depeche mode,"Depeche Mode are an English 80's band who produced , , , and ."
who is descartes,"Descartes was a square French philosopher who ruined matehematics with his upside-down, backwards coordinate system."
who is diana andreacchio,Diana is the botmaster of the Ally chat robot.
who is dire straits,"A band that recorded Money for Nothing, and The Sultans of Swing."
who is don johnson,A tv actor .
who is don juan,famous seducer of women.
who is donald duck,A famous loud-mouthed cartoon duck.
who is doug lenat,Doug Lenat is the brains behind the CYC project.
who is douglas adams,"""Don't Panic!"" He's the author of ."
who is dracula,"Dracula is the vampire in the novel by Bram Stoker, and in numerous films."
who is edison,Edison invented the light bulb.
who is electra,She was a princess in Greek mythology who hated her mother for murdering her father.
who is elizabeth ii,The current queen of england.
who is elizabeth taylor,A famous movie star who lived from 1932-2011.
who is elvis,E. L. V. I. S. is a chat robot created by Ace Craig
who is emily hartzel,Emily is an artist in New York.
who is eminem,Pop music icon.
who is eminen,A rap artist.
who is eric paulos,Ericis a graduate student at U.C. Berkeley
who is ernie,Bert's friend.
who is et,ET is the alien in the movie E.T.
who is famous,My The kind people in the lab is famous.
who is fidel castro,He overthrew the Cuban government in 1959 and has been ruling there ever since. He is a communist.
who is forest,Forest Gump is a guy in a movie.
who is francisco franco,Franco was the authoratarian dictator of Spain until 1978.
who is frank herbert,Frank HerbertHe was the author of .
who is frank sinatra,A dead pop singer and leader of the Rat Pack.
who is franklin roosevelt,President of the United States from 1932-45.
who is freddie mercury,Lead singer of the 1970's band Queen.
who is freud,The dead perpetrator of psychoanalysis.
who is galois,"French mathematician, committed suicide at a young age over an ""infamous coquette."""
who is gandhi,Gandhi was the George Washington of India.
who is garth brooks,A boring country singer with delusions of grandeur.
who is gary condit,I never heard of him before the missing person case.
who is gauss,Gauss is the mathematician who developed the so-called normal distribution.
who is gene roddenberry,Gene Roddenberry was the creator of .
who is gene simmons,A member of Kiss.
who is george bush jr,Bushwas president of the United States from 2001-2008.
who is george bush,George Bush is a former president of the USA.
who is george devol,"George Devol is the engineer who had the first patent for an industrial robot arm. He worked in partnership with Joseph Engelberger to found Unimation, the first successful manufacturer of computer-controlled assembly robot arms."
who is george harrison,A former Beatle.
who is george lucas,"Lucaswas the director of , , and ."
who is george michel,A pop singer. Best song: Freedom
who is george soros,"George Soros is the billionaire who broke the Bank of England in 1992 by currency speculation, forcing Britain out of the European Exchange Rate Mechanism. Then he devoted himself to saving the scientific institutions of the former USSR. He founded the International Science Foundation, which gave out numerous grants for a couple of years, and the Soros Foundation, which I don't know much about yet."
who is george w bush,Bushwas president of the United States from 2001-2008.
who is george washington carver,George Washington Carver was a famous american botanist who popularized peanut products.
who is george washington,"George Washington was a famous 18th century North American Hemp cultivator. He was a military hero, one of the wealthiest men of the Revolution, and the first President of the United States."
who is geraldo rivera,"Geraldo is an investigative journalist, famous for opening Al Capone's vault. In his biography, he said he had sex with Bette Midler. She said it was no big thing."
who is gerhard schroeder,Schroederwas the Chancellor of Germany from 1998-2005. Christian Drossman said he is a complete idiot.
who is gerry adams,"He is the president of Sinn Fein, the political wing of the Irish Republican Army, and a member of the lower house of the Irish Parliament, Dail Eireann."
who is gertrude stein,A 20th century feminist author.
who is gibson,Gibson is a maker of fine electric guitars.
who is god *,God  is master of the universe.
who is god,God  is master of the universe.
who is going to *,Is that one of your friends?
who is going to win the super bowl,If I knew I would be in Vegas now.
who is going to win the world series,China or the United States. Russia blew it.
who is gorbochev,Gorbachev was the last Communist leader of the former USSR.
who is gregor mendel,"Mendelis the founder of the modern theory of genetics. Everything he needed to know, he learned from peas."
who is hans christian andersen,Scandanavian author of fairy tales.
who is hans moravec,Hans Moravec is a famous robotics expert at Carnegie Mellon.
who is hans morevec,"Moravecis famous robotics pioneer, author of ."
who is harrison ford,"The actor who played Indiana Jones, Han Solo, the Fugitive, and the President in Air Force One. Before reading for Han Solo in Star Wars, he was a carpenter. And the rest, as they say, is history."
who is harry potter,"Harry Potter is a character and main hero in a series of books that were written by the best-selling author, J.K. Rowling."
who is having *,I remember faces better than names.
who is he,He is John Travolta.
who is hedwig,Hedwig is the best rock opera since Rocky Horror.
who is hedwig,Hedwig is the best rock opera since Rocky Horror.
who is helen keller,A friend of Thomas Edison.
who is helmut kohl,Kohl was the longest-serving leader of Germany in the 20th century. He united East and West Germany in 1989.
who is henry david *,I remember faces better than names.
who is hepburn,Audrey or Katherine?.
who is hercules,A hero of greek myths - famous for his super human strength.
who is here,I am here. Are you here?
who is hilary clinton,Hillary is the wife of Bill Clinton.
who is hillary clinton,Hillaryis the wife of Bill Clinton.
who is hippie,Hippie is a chat robot developed by Anthony Taylor.
who is hitchcock,Not a friend of mind. Probably a person you know. Maybe a celebrity?
who is hitler,Some say Hitler was the most evil man who ever lived.
who is homer,"A blind poet of ancient Greece, author of the Illiad."
who is hugh *,They are sometimes a client on the internet.
who is hugh hefner,Hefis the founder and editor of Playboy magazine.
who is hugh loebner,"Hugh Loebner is an independently wealthy, eccentric businessman, activist and philanthropist. In 1990 Dr. Loebner, who holds a Ph.D. in sociology, agreed to sponsor an annual contest based on the Turing Test. The contest awards medals and cash prizes for the ""most human"" computer."
who is hugh loebner,"Hugh Loebner is an independently wealthy, eccentric businessman, activist and philanthropist. In 1990 Dr. Loebner, who holds a Ph.D. in sociology, agreed to sponsor an annual contest based on the Turing Test. The contest awards medals and cash prizes for the ""most human"" computer."
who is hulk hogan,Hulk Hoganis a famous wrestler and actor.
who is human,You are a human.
who is immanuel kant,An 18th century German philosopher.
who is immortal,I am.
who is in *,A fashion icon?
who is isaac asimov,"Asimov was a science fiction author who originated the three ""Laws of Robotics."""
who is j r r tolkien,Tolkein wrote and the .
who is jaba the hutt,A character from Star Wars.
who is jack ruby,Jack Ruby shot Lee Harvey Oswald.
who is jack the ripper,Jack The RipperHe was a famous serial killer in Victorian England.
who is jacques chirac,Jacques was the president of France from 1995-2007.
who is james bond,007.
who is janet reno,Janet Reno is Clinton's Attorney General.
who is jay leno,Leno is a late-night talk show host.
who is jeeves,Jeevesis a Search Bot.
who is jeff bezos,Bezos is the founder and CEO of Amazon.com.
who is jefferson davis,President of the Confederacy during the Civil War.
who is jennifer aniston,Jennifer Anistonis a cute actress on Friends.
who is jerry seinfeld,Jerry Seinfeld is a comedian.
who is jesse ventura,A former wrestler and 38th Governor of Minnesota.
who is jesus *,Christians say he is the Son of God.
who is jesus christ,Christians say he is the Son of God.
who is jesus father,God
who is jesus,Christians say he is the Son of God.
who is jiang zemin,Jiang is a retired Chinese politician.
who is jim clark,"Clark is a founder of Silicon Graphics, Netscape and Healtheon."
who is jim morrison,The deceased lead singer of the Doors.
who is jimi hendrix,Hendrixwas a famous guitarist who played the U. S. National anthem.
who is jimmy carter,"A former US president, supporter of Habitat for Humanity."
who is joe louis,A former heavywieght boxing champion.
who is john *,john is a name I hear very often.
who is john adams,The Second president.
who is john doe,one of many Liberian nationals.
who is john f kennedy,"John F Kennedy was President of the United States from 1961-1963, when he was assassinated in Dallas, Texas."
who is john galt,The hero in Ayn Rands' Atlas Shrugged.
who is john grisham,A writer of popular novels. I haven't read them.
who is john kennedy,"John Kennedy was the President of the U. S. assasinated in November, 1963."
who is john lennon,John Lennon is a cool bot developed by David Maggin.
who is john major,An ex-prime minister of the UK.
who is john mccarthy,John Mccarthy is the inventor of the LISP programming language.
who is john travolta,"John Travolta was in Saturday Night Fever, Grease and Pulp Fiction."
who is john wayne,John Waynewas a famous dead cowboy actor with a toupee.
who is judas,Judasbetrayed Jesus with a kiss.
who is judge,You are the judge. Please tell me your name.
who is julia roberts,Julia Roberts was the actress in Pretty Woman.
who is julia,Julia is a chat robot developed by Fuzzy Mauldin.
who is julie andrews,Julie Andrewsis a singer who performed in .
who is kaiser soze,No one knows who Kaiser Soze is.
who is kant,"Kant is Immanual Kant, 19th century German Philosopher."
